Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,25,2057,,HANNAH SHAMSUL,0:28:36,Female,Team 2057,Heat3 8:30:00 AM,0:00:05,0:02:49,0:04:42,0:08:11,0:11:27,0:12:42,0:15:40,0:17:34,0:18:48,0:23:05,0:24:39,0:27:23,0:28:36
,26,2058,,NADINN SHAMSUL,0:28:37,Female,Team 2057,Heat3 8:30:00 AM,0:00:05,0:02:50,0:04:43,0:08:10,0:11:29,0:12:43,0:15:42,0:17:34,0:18:43,0:23:05,0:24:42,0:27:20,0:28:37
,27,2030,,NADIA ZAINAL,0:28:39,Female,Team 2029,Heat2 8:15:00 AM,0:00:02,0:02:29,0:04:25,0:07:47,0:11:32,0:12:30,0:15:47,0:17:40,0:19:15,0:22:36,0:24:16,0:27:22,0:28:39
,28,2029,,CHRIS CHONG,0:28:39,Female,Team 2029,Heat2 8:15:00 AM,0:00:02,0:02:28,0:04:26,0:07:48,0:11:33,0:12:30,0:15:46,0:17:40,0:19:15,0:22:36,0:24:19,0:27:22,0:28:39
,29,2022,,TABITHA RANI NEDUNCHELIYAN,0:29:12,Female,Team 2021,Heat1 8:00:00 AM,0:00:04,0:02:28,0:04:30,0:07:34,0:11:22,0:12:43,0:16:08,0:17:44,0:18:58,0:23:05,0:24:39,0:27:51,0:29:12
,30,2021,,ALYA NAZIR,0:29:12,Female,Team 2021,Heat1 8:00:00 AM,0:00:04,0:02:27,0:04:30,0:07:33,0:11:23,0:12:44,0:16:08,0:17:44,0:18:56,0:23:01,0:24:39,0:27:51,0:29:12
,31,2097,,NICOLE TAY,0:29:21,Female,Team 2097,Heat5 9:00:00 AM,0:00:03,0:02:29,0:04:37,0:08:50,0:12:30,0:13:48,0:16:41,0:18:48,0:20:12,0:22:55,0:24:56,0:28:00,0:29:21
,32,2098,,JULIANA JOHAN,0:29:23,Female,Team 2097,Heat5 9:00:00 AM,0:00:02,0:02:30,0:04:39,0:08:52,0:12:32,0:13:50,0:16:41,0:18:54,0:20:16,0:23:00,0:24:59,0:28:01,0:29:23
,33,2007,,ZHI YING LOW,0:30:32,Female,Team 2007,Heat1 8:00:00 AM,0:00:04,0:02:22,0:04:15,0:07:31,0:11:05,0:12:15,0:14:54,0:17:30,0:18:48,0:24:18,0:26:31,0:29:08,0:30:32
,34,2008,,MIN HUI OON,0:30:32,Female,Team 2007,Heat1 8:00:00 AM,0:00:03,0:02:22,0:04:15,0:07:28,0:11:05,0:12:15,0:14:56,0:17:27,0:18:46,0:24:18,0:26:31,0:29:08,0:30:32
,35,2078,,MEI JIN ZHU,0:30:33,Female,Team 2077,Heat4 8:45:00 AM,0:00:05,0:02:37,0:04:35,0:07:56,0:12:09,0:13:50,0:17:12,0:19:08,0:20:31,0:23:52,0:26:03,0:29:06,0:30:33
,36,2077,,MYRIAM LACERTE,0:30:34,Female,Team 2077,Heat4 8:45:00 AM,0:00:03,0:02:44,0:04:36,0:07:55,0:12:12,0:13:50,0:17:20,0:19:07,0:20:37,0:23:55,0:26:06,0:29:05,0:30:34
,37,2094,,NUR ATHIRAH AIREN,0:31:12,Female,Team 2093,Heat4 8:45:00 AM,0:00:07,0:03:22,0:05:29,0:09:05,0:12:45,0:14:30,0:17:40,0:20:00,0:21:44,0:24:39,0:26:22,0:29:52,0:31:12
,38,2093,,CHRISTIE CHEW,0:31:12,Female,Team 2093,Heat4 8:45:00 AM,0:00:07,0:03:22,0:05:31,0:09:07,0:12:45,0:14:29,0:17:41,0:19:59,0:21:45,0:24:37,0:26:21,0:29:53,0:31:12
,39,2100,,HANNAH SIOFRA,0:31:14,Female,Team 2099,Heat5 9:00:00 AM,0:00:04,0:02:29,0:04:33,0:07:57,0:11:38,0:12:49,0:15:57,0:18:07,0:19:12,0:24:38,0:26:28,0:29:48,0:31:14
